"A1" "A2" "A3" "B1" "B2" "B3"
"54361" 22 0 33 20 12 8
"9923" 1849 2521 3128 3037 3319 3701
"2046" 20 2 6 8 4 0
"712" 1194 366 655 4607 15438 13570
"714" 255 56 52 4301 13772 10293
"713" 295 77 128 1505 8028 4463
"2048" 778 556 549 854 1420 867
"100422914" 0 0 0 0 0 0
"646262" 0 0 0 0 0 0
"729059" 0 0 0 0 0 0
"23028" 2149 2327 3092 2022 2127 2588
"100422866" 4 0 0 0 1 0
"7798" 2626 2180 3326 2708 2901 3375
"3352" 0 0 0 2 0 0
"10236" 5064 4529 4813 5272 5914 6711
"80818" 178 177 168 439 454 452
"148898" 13 24 17 12 16 38
"6920" 20 24 32 23 16 35
"55616" 35 38 89 13 26 13
"1870" 819 1508 1319 157 276 452
"3399" 472 369 355 683 957 624
"259283" 2 4 0 0 2 0
"729856" 0 0 0 0 0 0
"6135" 42852 30820 28841 15936 18402 24280
"6924" 3943 2799 3234 2773 3191 3450
"100506963" 2 6 2 14 20 38
"57095" 2284 1683 1337 1617 1652 2086
"11313" 2195 2471 2342 3317 3939 4130
"2582" 391 427 319 1632 1573 1923
"3155" 144 234 128 2195 2663 2728
"2517" 939 762 502 3409 4021 3964
"1269" 16 2 23 10 0 0
"55629" 521 140 4477 371 100 6296
"10772" 374 93 7824 143 80 5190
"127294" 0 0 0 0 2 0
"58985" 0 0 0 0 2 0
"163702" 16 19 4 634 301 608
"284632" 0 0 0 0 0 5
"57822" 0 0 0 2 5 25
"90529" 12 6 21 224 286 374
"57185" 239 336 410 1513 1646 2015
"11123" 804 791 571 855 1118 1248
"100506985" 247 338 217 562 621 789
"400746" 0 0 0 0 0 0
"10250" 9681 7653 9657 4668 5228 5821
"25932" 3244 3213 3925 16913 20699 26480
"864" 13703 10979 12862 2374 2209 1996
"25949" 6542 5063 4113 1584 1933 2273
"57035" 2095 2798 3768 1847 1999 2601
"6007" 37 51 0 10 25 0
"23585" 4254 3893 2624 5739 6259 7396
"6006" 7 0 0 0 4 13
"55219" 1799 2174 2105 1111 1405 1604
